"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"scala.collection.mutable.AnyRefMapBenchmark.createAnyRefMap","avgt",1,1,73.49936261182572,NaN,"ns/op","1"
"scala.collection.mutable.AnyRefMapBenchmark.createAnyRefMap","avgt",1,1,152.71439284300521,NaN,"ns/op","10"
"scala.collection.mutable.AnyRefMapBenchmark.createAnyRefMap","avgt",1,1,1435.3458225282423,NaN,"ns/op","100"
"scala.collection.mutable.AnyRefMapBenchmark.createAnyRefMap","avgt",1,1,14322.198462613556,NaN,"ns/op","1000"
"scala.collection.mutable.AnyRefMapBenchmark.createAnyRefMap","avgt",1,1,288098.57101827674,NaN,"ns/op","10000"
"scala.collection.mutable.AnyRefMapBenchmark.createMap","avgt",1,1,126.67289201185552,NaN,"ns/op","1"
"scala.collection.mutable.AnyRefMapBenchmark.createMap","avgt",1,1,318.5321294065628,NaN,"ns/op","10"
"scala.collection.mutable.AnyRefMapBenchmark.createMap","avgt",1,1,4464.641304523425,NaN,"ns/op","100"
"scala.collection.mutable.AnyRefMapBenchmark.createMap","avgt",1,1,50203.972291506056,NaN,"ns/op","1000"
"scala.collection.mutable.AnyRefMapBenchmark.createMap","avgt",1,1,651004.7042915932,NaN,"ns/op","10000"
"scala.collection.mutable.AnyRefMapBenchmark.lookupAnyRefMap","avgt",1,1,8.864344482267564,NaN,"ns/op","1"
"scala.collection.mutable.AnyRefMapBenchmark.lookupAnyRefMap","avgt",1,1,8.961390936705623,NaN,"ns/op","10"
"scala.collection.mutable.AnyRefMapBenchmark.lookupAnyRefMap","avgt",1,1,9.552318199600208,NaN,"ns/op","100"
"scala.collection.mutable.AnyRefMapBenchmark.lookupAnyRefMap","avgt",1,1,10.029535867043101,NaN,"ns/op","1000"
"scala.collection.mutable.AnyRefMapBenchmark.lookupAnyRefMap","avgt",1,1,10.282971860283924,NaN,"ns/op","10000"
"scala.collection.mutable.AnyRefMapBenchmark.lookupAnyRefMapGetOrNull","avgt",1,1,8.682416573379069,NaN,"ns/op","1"
"scala.collection.mutable.AnyRefMapBenchmark.lookupAnyRefMapGetOrNull","avgt",1,1,9.372387219831147,NaN,"ns/op","10"
"scala.collection.mutable.AnyRefMapBenchmark.lookupAnyRefMapGetOrNull","avgt",1,1,10.341654255112282,NaN,"ns/op","100"
"scala.collection.mutable.AnyRefMapBenchmark.lookupAnyRefMapGetOrNull","avgt",1,1,10.902901341097166,NaN,"ns/op","1000"
"scala.collection.mutable.AnyRefMapBenchmark.lookupAnyRefMapGetOrNull","avgt",1,1,11.163166365692367,NaN,"ns/op","10000"
"scala.collection.mutable.AnyRefMapBenchmark.lookupMap","avgt",1,1,11.446440037433012,NaN,"ns/op","1"
"scala.collection.mutable.AnyRefMapBenchmark.lookupMap","avgt",1,1,11.600541652824656,NaN,"ns/op","10"
"scala.collection.mutable.AnyRefMapBenchmark.lookupMap","avgt",1,1,12.55459124364856,NaN,"ns/op","100"
"scala.collection.mutable.AnyRefMapBenchmark.lookupMap","avgt",1,1,12.283021015083156,NaN,"ns/op","1000"
"scala.collection.mutable.AnyRefMapBenchmark.lookupMap","avgt",1,1,12.670478613616103,NaN,"ns/op","10000"
"scala.collection.mutable.AnyRefMapBenchmark.map","avgt",1,1,104.93367719503021,NaN,"ns/op","1"
"scala.collection.mutable.AnyRefMapBenchmark.map","avgt",1,1,298.5152039805567,NaN,"ns/op","10"
"scala.collection.mutable.AnyRefMapBenchmark.map","avgt",1,1,6337.830118125993,NaN,"ns/op","100"
"scala.collection.mutable.AnyRefMapBenchmark.map","avgt",1,1,67178.77825030376,NaN,"ns/op","1000"
"scala.collection.mutable.AnyRefMapBenchmark.map","avgt",1,1,732349.5872594558,NaN,"ns/op","10000"
"scala.collection.mutable.AnyRefMapBenchmark.mapValuesNow","avgt",1,1,60.02471277492869,NaN,"ns/op","1"
"scala.collection.mutable.AnyRefMapBenchmark.mapValuesNow","avgt",1,1,115.83227938024265,NaN,"ns/op","10"
"scala.collection.mutable.AnyRefMapBenchmark.mapValuesNow","avgt",1,1,912.9875052006739,NaN,"ns/op","100"
"scala.collection.mutable.AnyRefMapBenchmark.mapValuesNow","avgt",1,1,6403.298542804046,NaN,"ns/op","1000"
"scala.collection.mutable.AnyRefMapBenchmark.mapValuesNow","avgt",1,1,171480.93552875696,NaN,"ns/op","10000"
