"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: offset","Param: size"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,9.969292048203053,NaN,"ns/op","0.0","1"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,36.21529236454966,NaN,"ns/op","0.0","10"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,678.7933251460171,NaN,"ns/op","0.0","100"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,8730.412771711197,NaN,"ns/op","0.0","1000"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,9.98160743762853,NaN,"ns/op","0.25","1"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,87.59330306950227,NaN,"ns/op","0.25","10"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,1525.546049918274,NaN,"ns/op","0.25","100"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,28698.69061834796,NaN,"ns/op","0.25","1000"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,9.648101386058448,NaN,"ns/op","0.5","1"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,223.53775394621087,NaN,"ns/op","0.5","10"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,3300.1568172936077,NaN,"ns/op","0.5","100"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,59040.96352080329,NaN,"ns/op","0.5","1000"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,9.846283600928247,NaN,"ns/op","0.75","1"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,316.5886043768508,NaN,"ns/op","0.75","10"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,5245.966212314828,NaN,"ns/op","0.75","100"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,87501.78883418044,NaN,"ns/op","0.75","1000"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,22.4961872867056,NaN,"ns/op","1.0","1"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,485.3647762454264,NaN,"ns/op","1.0","10"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,6986.814051906279,NaN,"ns/op","1.0","100"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,114140.55066941297,NaN,"ns/op","1.0","1000"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,7.916113203447397,NaN,"ns/op","0.0","1"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,61.93161377615776,NaN,"ns/op","0.0","10"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,719.9122983464638,NaN,"ns/op","0.0","100"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,8477.03970369239,NaN,"ns/op","0.0","1000"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,7.7544734101432535,NaN,"ns/op","0.25","1"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,142.10626323909207,NaN,"ns/op","0.25","10"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,2854.6980812888864,NaN,"ns/op","0.25","100"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,41722.345324011425,NaN,"ns/op","0.25","1000"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,7.7937922222103335,NaN,"ns/op","0.5","1"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,255.7314963048649,NaN,"ns/op","0.5","10"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,5449.0419405505745,NaN,"ns/op","0.5","100"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,76815.04663428175,NaN,"ns/op","0.5","1000"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,8.034421725736728,NaN,"ns/op","0.75","1"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,349.22511191878743,NaN,"ns/op","0.75","10"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,6413.069999075615,NaN,"ns/op","0.75","100"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,106922.33014585145,NaN,"ns/op","0.75","1000"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,14.016496250929627,NaN,"ns/op","1.0","1"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,432.78666821507375,NaN,"ns/op","1.0","10"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,6744.413740458015,NaN,"ns/op","1.0","100"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,114887.96093912321,NaN,"ns/op","1.0","1000"
