"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: offset","Param: size"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,2.8215981323167716,NaN,"ns/op","0.0","1"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,72.42046116685114,NaN,"ns/op","0.0","10"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,776.8490789587416,NaN,"ns/op","0.0","100"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,9605.855741834608,NaN,"ns/op","0.0","1000"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,2.685128268251576,NaN,"ns/op","0.25","1"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,91.45865296236467,NaN,"ns/op","0.25","10"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,1366.2914456977903,NaN,"ns/op","0.25","100"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,15442.703724856521,NaN,"ns/op","0.25","1000"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,2.6800608164313586,NaN,"ns/op","0.5","1"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,116.26773905467722,NaN,"ns/op","0.5","10"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,1574.8297290565017,NaN,"ns/op","0.5","100"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,15553.815115298088,NaN,"ns/op","0.5","1000"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,2.69079096321663,NaN,"ns/op","0.75","1"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,121.03375542895051,NaN,"ns/op","0.75","10"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,1446.2808870598994,NaN,"ns/op","0.75","100"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,14977.04029115705,NaN,"ns/op","0.75","1000"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,2.8200372165472256,NaN,"ns/op","1.0","1"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,74.51448779036652,NaN,"ns/op","1.0","10"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,1540.9873800941684,NaN,"ns/op","1.0","100"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,9502.354883045708,NaN,"ns/op","1.0","1000"
"scala.collection.immutable.HashSetBenchmark.filter","avgt",1,1,2.7998889196312544,NaN,"ns/op","0.0","1"
"scala.collection.immutable.HashSetBenchmark.filter","avgt",1,1,45.38496853790713,NaN,"ns/op","0.0","10"
"scala.collection.immutable.HashSetBenchmark.filter","avgt",1,1,449.78708275034165,NaN,"ns/op","0.0","100"
"scala.collection.immutable.HashSetBenchmark.filter","avgt",1,1,4883.563209379556,NaN,"ns/op","0.0","1000"
"scala.collection.immutable.HashSetBenchmark.filter","avgt",1,1,2.832599196490786,NaN,"ns/op","0.25","1"
"scala.collection.immutable.HashSetBenchmark.filter","avgt",1,1,59.64938494341921,NaN,"ns/op","0.25","10"
"scala.collection.immutable.HashSetBenchmark.filter","avgt",1,1,814.68831678416,NaN,"ns/op","0.25","100"
"scala.collection.immutable.HashSetBenchmark.filter","avgt",1,1,10667.779165131744,NaN,"ns/op","0.25","1000"
"scala.collection.immutable.HashSetBenchmark.filter","avgt",1,1,2.678097202273051,NaN,"ns/op","0.5","1"
"scala.collection.immutable.HashSetBenchmark.filter","avgt",1,1,80.29791436464488,NaN,"ns/op","0.5","10"
"scala.collection.immutable.HashSetBenchmark.filter","avgt",1,1,1087.3648924833285,NaN,"ns/op","0.5","100"
"scala.collection.immutable.HashSetBenchmark.filter","avgt",1,1,12224.94800528984,NaN,"ns/op","0.5","1000"
"scala.collection.immutable.HashSetBenchmark.filter","avgt",1,1,2.669489107194044,NaN,"ns/op","0.75","1"
"scala.collection.immutable.HashSetBenchmark.filter","avgt",1,1,86.14594227554196,NaN,"ns/op","0.75","10"
"scala.collection.immutable.HashSetBenchmark.filter","avgt",1,1,1060.5510935090895,NaN,"ns/op","0.75","100"
"scala.collection.immutable.HashSetBenchmark.filter","avgt",1,1,12560.493397005737,NaN,"ns/op","0.75","1000"
"scala.collection.immutable.HashSetBenchmark.filter","avgt",1,1,2.649787835282704,NaN,"ns/op","1.0","1"
"scala.collection.immutable.HashSetBenchmark.filter","avgt",1,1,47.30223151894182,NaN,"ns/op","1.0","10"
"scala.collection.immutable.HashSetBenchmark.filter","avgt",1,1,805.3601980473366,NaN,"ns/op","1.0","100"
"scala.collection.immutable.HashSetBenchmark.filter","avgt",1,1,8215.891925290138,NaN,"ns/op","1.0","1000"
"scala.collection.immutable.HashSetBenchmark.intersect","avgt",1,1,2.6311884050103322,NaN,"ns/op","0.0","1"
"scala.collection.immutable.HashSetBenchmark.intersect","avgt",1,1,75.35439007481251,NaN,"ns/op","0.0","10"
"scala.collection.immutable.HashSetBenchmark.intersect","avgt",1,1,1345.4416545690244,NaN,"ns/op","0.0","100"
"scala.collection.immutable.HashSetBenchmark.intersect","avgt",1,1,16000.473557345342,NaN,"ns/op","0.0","1000"
"scala.collection.immutable.HashSetBenchmark.intersect","avgt",1,1,2.628040424239035,NaN,"ns/op","0.25","1"
"scala.collection.immutable.HashSetBenchmark.intersect","avgt",1,1,105.6614981174683,NaN,"ns/op","0.25","10"
"scala.collection.immutable.HashSetBenchmark.intersect","avgt",1,1,1337.3300439851432,NaN,"ns/op","0.25","100"
"scala.collection.immutable.HashSetBenchmark.intersect","avgt",1,1,13996.781588265048,NaN,"ns/op","0.25","1000"
"scala.collection.immutable.HashSetBenchmark.intersect","avgt",1,1,2.613836508318094,NaN,"ns/op","0.5","1"
"scala.collection.immutable.HashSetBenchmark.intersect","avgt",1,1,108.5500971877999,NaN,"ns/op","0.5","10"
"scala.collection.immutable.HashSetBenchmark.intersect","avgt",1,1,1286.8719133011505,NaN,"ns/op","0.5","100"
"scala.collection.immutable.HashSetBenchmark.intersect","avgt",1,1,12538.39464628454,NaN,"ns/op","0.5","1000"
"scala.collection.immutable.HashSetBenchmark.intersect","avgt",1,1,2.6473199934552465,NaN,"ns/op","0.75","1"
"scala.collection.immutable.HashSetBenchmark.intersect","avgt",1,1,101.59162480601366,NaN,"ns/op","0.75","10"
"scala.collection.immutable.HashSetBenchmark.intersect","avgt",1,1,951.6592357699975,NaN,"ns/op","0.75","100"
"scala.collection.immutable.HashSetBenchmark.intersect","avgt",1,1,9989.434429107803,NaN,"ns/op","0.75","1000"
"scala.collection.immutable.HashSetBenchmark.intersect","avgt",1,1,2.6254270907380146,NaN,"ns/op","1.0","1"
"scala.collection.immutable.HashSetBenchmark.intersect","avgt",1,1,22.49860981746297,NaN,"ns/op","1.0","10"
"scala.collection.immutable.HashSetBenchmark.intersect","avgt",1,1,534.9230715604272,NaN,"ns/op","1.0","100"
"scala.collection.immutable.HashSetBenchmark.intersect","avgt",1,1,5932.540057507509,NaN,"ns/op","1.0","1000"
"scala.collection.immutable.HashSetBenchmark.subsetOf","avgt",1,1,1.9904579484444336,NaN,"ns/op","0.0","1"
"scala.collection.immutable.HashSetBenchmark.subsetOf","avgt",1,1,27.930732623331444,NaN,"ns/op","0.0","10"
"scala.collection.immutable.HashSetBenchmark.subsetOf","avgt",1,1,747.1746420824587,NaN,"ns/op","0.0","100"
"scala.collection.immutable.HashSetBenchmark.subsetOf","avgt",1,1,16680.347878586632,NaN,"ns/op","0.0","1000"
"scala.collection.immutable.HashSetBenchmark.subsetOf","avgt",1,1,1.9758154404204817,NaN,"ns/op","0.25","1"
"scala.collection.immutable.HashSetBenchmark.subsetOf","avgt",1,1,2.0419835088810303,NaN,"ns/op","0.25","10"
"scala.collection.immutable.HashSetBenchmark.subsetOf","avgt",1,1,7.022909181422341,NaN,"ns/op","0.25","100"
"scala.collection.immutable.HashSetBenchmark.subsetOf","avgt",1,1,7.114472947694989,NaN,"ns/op","0.25","1000"
"scala.collection.immutable.HashSetBenchmark.subsetOf","avgt",1,1,1.9766431372793634,NaN,"ns/op","0.5","1"
"scala.collection.immutable.HashSetBenchmark.subsetOf","avgt",1,1,2.0626285548959475,NaN,"ns/op","0.5","10"
"scala.collection.immutable.HashSetBenchmark.subsetOf","avgt",1,1,2.072035481666811,NaN,"ns/op","0.5","100"
"scala.collection.immutable.HashSetBenchmark.subsetOf","avgt",1,1,6.988452487882337,NaN,"ns/op","0.5","1000"
"scala.collection.immutable.HashSetBenchmark.subsetOf","avgt",1,1,1.9790637395655153,NaN,"ns/op","0.75","1"
"scala.collection.immutable.HashSetBenchmark.subsetOf","avgt",1,1,2.0517951444525324,NaN,"ns/op","0.75","10"
"scala.collection.immutable.HashSetBenchmark.subsetOf","avgt",1,1,7.002957195520715,NaN,"ns/op","0.75","100"
"scala.collection.immutable.HashSetBenchmark.subsetOf","avgt",1,1,7.6675438130953,NaN,"ns/op","0.75","1000"
"scala.collection.immutable.HashSetBenchmark.subsetOf","avgt",1,1,1.7570283081922153,NaN,"ns/op","1.0","1"
"scala.collection.immutable.HashSetBenchmark.subsetOf","avgt",1,1,2.0506410080878243,NaN,"ns/op","1.0","10"
"scala.collection.immutable.HashSetBenchmark.subsetOf","avgt",1,1,6.156581151014726,NaN,"ns/op","1.0","100"
"scala.collection.immutable.HashSetBenchmark.subsetOf","avgt",1,1,7.009218076148374,NaN,"ns/op","1.0","1000"
"scala.collection.immutable.HashSetBenchmark.union","avgt",1,1,2.6059107643939043,NaN,"ns/op","0.0","1"
"scala.collection.immutable.HashSetBenchmark.union","avgt",1,1,63.69489916375721,NaN,"ns/op","0.0","10"
"scala.collection.immutable.HashSetBenchmark.union","avgt",1,1,1230.6861136108612,NaN,"ns/op","0.0","100"
"scala.collection.immutable.HashSetBenchmark.union","avgt",1,1,12813.764090000346,NaN,"ns/op","0.0","1000"
"scala.collection.immutable.HashSetBenchmark.union","avgt",1,1,2.6241258769721143,NaN,"ns/op","0.25","1"
"scala.collection.immutable.HashSetBenchmark.union","avgt",1,1,111.32355816207169,NaN,"ns/op","0.25","10"
"scala.collection.immutable.HashSetBenchmark.union","avgt",1,1,1651.9056337880832,NaN,"ns/op","0.25","100"
"scala.collection.immutable.HashSetBenchmark.union","avgt",1,1,20771.867289158887,NaN,"ns/op","0.25","1000"
"scala.collection.immutable.HashSetBenchmark.union","avgt",1,1,2.626318207968609,NaN,"ns/op","0.5","1"
"scala.collection.immutable.HashSetBenchmark.union","avgt",1,1,154.78672500629156,NaN,"ns/op","0.5","10"
"scala.collection.immutable.HashSetBenchmark.union","avgt",1,1,2081.6176590828964,NaN,"ns/op","0.5","100"
"scala.collection.immutable.HashSetBenchmark.union","avgt",1,1,23434.963729257273,NaN,"ns/op","0.5","1000"
"scala.collection.immutable.HashSetBenchmark.union","avgt",1,1,2.6255853179255415,NaN,"ns/op","0.75","1"
"scala.collection.immutable.HashSetBenchmark.union","avgt",1,1,173.63236006660438,NaN,"ns/op","0.75","10"
"scala.collection.immutable.HashSetBenchmark.union","avgt",1,1,2436.1534437375167,NaN,"ns/op","0.75","100"
"scala.collection.immutable.HashSetBenchmark.union","avgt",1,1,24151.954688249923,NaN,"ns/op","0.75","1000"
"scala.collection.immutable.HashSetBenchmark.union","avgt",1,1,20.10036841671846,NaN,"ns/op","1.0","1"
"scala.collection.immutable.HashSetBenchmark.union","avgt",1,1,170.91703781201386,NaN,"ns/op","1.0","10"
"scala.collection.immutable.HashSetBenchmark.union","avgt",1,1,2522.2826634793023,NaN,"ns/op","1.0","100"
"scala.collection.immutable.HashSetBenchmark.union","avgt",1,1,22505.743414356093,NaN,"ns/op","1.0","1000"
