"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"scala.collection.mutable.LongMapBenchmark.createLongMap","avgt",1,1,67.3900347590463,NaN,"ns/op","1"
"scala.collection.mutable.LongMapBenchmark.createLongMap","avgt",1,1,171.21581073328025,NaN,"ns/op","10"
"scala.collection.mutable.LongMapBenchmark.createLongMap","avgt",1,1,1196.101814065808,NaN,"ns/op","100"
"scala.collection.mutable.LongMapBenchmark.createLongMap","avgt",1,1,12435.12192232177,NaN,"ns/op","1000"
"scala.collection.mutable.LongMapBenchmark.createLongMap","avgt",1,1,218682.0941083432,NaN,"ns/op","10000"
"scala.collection.mutable.LongMapBenchmark.createMap","avgt",1,1,118.95885736517582,NaN,"ns/op","1"
"scala.collection.mutable.LongMapBenchmark.createMap","avgt",1,1,238.93397429369364,NaN,"ns/op","10"
"scala.collection.mutable.LongMapBenchmark.createMap","avgt",1,1,6424.970031591624,NaN,"ns/op","100"
"scala.collection.mutable.LongMapBenchmark.createMap","avgt",1,1,60141.2897572657,NaN,"ns/op","1000"
"scala.collection.mutable.LongMapBenchmark.createMap","avgt",1,1,758432.676975945,NaN,"ns/op","10000"
"scala.collection.mutable.LongMapBenchmark.lookupLongMap","avgt",1,1,3.0298494594048586,NaN,"ns/op","1"
"scala.collection.mutable.LongMapBenchmark.lookupLongMap","avgt",1,1,3.4555316116452244,NaN,"ns/op","10"
"scala.collection.mutable.LongMapBenchmark.lookupLongMap","avgt",1,1,3.4237371720008825,NaN,"ns/op","100"
"scala.collection.mutable.LongMapBenchmark.lookupLongMap","avgt",1,1,3.4898308866386314,NaN,"ns/op","1000"
"scala.collection.mutable.LongMapBenchmark.lookupLongMap","avgt",1,1,7.285673414448396,NaN,"ns/op","10000"
"scala.collection.mutable.LongMapBenchmark.lookupMap","avgt",1,1,8.760895141247117,NaN,"ns/op","1"
"scala.collection.mutable.LongMapBenchmark.lookupMap","avgt",1,1,8.153774853132761,NaN,"ns/op","10"
"scala.collection.mutable.LongMapBenchmark.lookupMap","avgt",1,1,8.286214599316212,NaN,"ns/op","100"
"scala.collection.mutable.LongMapBenchmark.lookupMap","avgt",1,1,12.245488047044716,NaN,"ns/op","1000"
"scala.collection.mutable.LongMapBenchmark.lookupMap","avgt",1,1,16.045844721503418,NaN,"ns/op","10000"
"scala.collection.mutable.LongMapBenchmark.map","avgt",1,1,106.53033516970181,NaN,"ns/op","1"
"scala.collection.mutable.LongMapBenchmark.map","avgt",1,1,316.8100325235345,NaN,"ns/op","10"
"scala.collection.mutable.LongMapBenchmark.map","avgt",1,1,7258.389185497482,NaN,"ns/op","100"
"scala.collection.mutable.LongMapBenchmark.map","avgt",1,1,78564.178883754,NaN,"ns/op","1000"
"scala.collection.mutable.LongMapBenchmark.map","avgt",1,1,740259.5487558843,NaN,"ns/op","10000"
"scala.collection.mutable.LongMapBenchmark.mapValuesNow","avgt",1,1,49.73975089043824,NaN,"ns/op","1"
"scala.collection.mutable.LongMapBenchmark.mapValuesNow","avgt",1,1,94.40123234603091,NaN,"ns/op","10"
"scala.collection.mutable.LongMapBenchmark.mapValuesNow","avgt",1,1,852.404454264115,NaN,"ns/op","100"
"scala.collection.mutable.LongMapBenchmark.mapValuesNow","avgt",1,1,7167.332963539639,NaN,"ns/op","1000"
"scala.collection.mutable.LongMapBenchmark.mapValuesNow","avgt",1,1,174215.5764631844,NaN,"ns/op","10000"
